damn: damn 
tradu: tradu 
famous: famous 
italic: italics 
bitch: bitch bitches 
karma: karma 
around: around 
chorus: chorus 
peaked: peaked 
note: note 
hottie: hottie 
aeroplane: aeroplane 
brenda: brenda 
still: still 
cat: cat 
section: section 
mo: mo 
liquor: liquor 
girl: girl 
found: found 
nobody: nobody 
delbert: delbert 
let: let 
ant: ant 
throughout: throughout 
nigga: nigga niggas 
chicago: chicago 
anything: anything 
jenkins: jenkins 
good: good 
okay: okay 
remixes: remixes 
cyhi: cyhi 
synth: synth 
little: little 
pointing: pointing 
kyle: kyle 
jenelle: jenelle 
maddbomb: maddbomb 
traductions: traductions 
collection: collection 
yeezus: yeezus 
marching: marching 
tell: tell 
use: use 
squid: squid 
mohawke: mohawke 
corp: corp 
lyric: lyrics lyric 
matxeus: matxeus 
bad: bad 
give: give 
suicide: suicide 
forget: forget 
turnt: turnt 
complainin: complainin 
wretch: wretch 
guitar: guitar 
doin: doin 
drill: drill 
demo: demo 
tear: tears 
information: information 
boy: boy 
redan: redan 
buddemusic: buddemusic 
whiteside: whiteside 
minimal: minimal 
hanahata: hanahata 
w: w 
walk: walk 
world: world 
holding: holdings 
concert: concert 
tony: tony 
rick: rick 
traduction: traduction 
v: v 
see: sees 
third: third 
stone: stone 
reach: reach 
back: back 
mouth: mouth 
wanna: wanna 
much: much 
myne: myne 
spunk: spunk 
concord: concord 
privacy: privacy 
artist: artists 
want: want 
directed: directed 
writing: writing 
sodrac: sodrac 
memorable: memorable 
fall: fall 
funny: funny 
leaf: leaves 
another: another 
llung: llung 
juice: juice 
paint: paint 
ubem: ubem 
answer: answer 
critically: critically 
jon: jon 
share: share 
floxks: floxks 
uncle: uncle 
robert: robert 
danchick: danchick 
fatboibari: fatboibari 
k: k 
potted: potted 
think: think 
malik: malik 
guideline: guidelines 
check: check 
song: song songs 
credit: credits 
wept: wept 
impel: impel 
norman: norman 
ok: ok 
blackwood: blackwood 
even: even 
engineer: engineer 
instrumental: instrumental 
thing: thing 
post: post 
casey: casey 
thirsty: thirsty 
andy: andy 
kyla: kyla 
titled: titled 
thousand: thousand 
previewed: previewed 
rubin: rubin 
real: real 
jabriel: jabriel 
cup: cup 
comment: comment comments 
recalled: recalled 
wrote: wrote 
wished: wished 
order: orders 
rep: rep 
verse: verses verse 
distorted: distorted 
contributor: contributor contributors 
mom: mom 
yung: yung 
donda: donda 
reducing: reducing 
mckenzie: mckenzie 
read: read 
lawn: lawn 
word: word 
jerome: jerome 
english: english 
part: parts part 
met: met 
header: headers 
background: background 
ask: ask 
written: written 
stuff: stuff 
performance: performance 
format: format 
vocalist: vocalists 
cupid: cupid 
south: south 
developer: developers 
christmas: christmas 
fly: fly 
twin: twins twin 
bmg: bmg 
reputation: reputation 
che: che 
john: john 
kissen: kissen 
director: director 
drown: drown 
side: side 
remix: remix 
boolean: boolean 
die: die 
wrld: wrld 
mixing: mixing 
view: view 
musical: musical 
tyler: tyler 
visit: visit 
created: created 
billboard: billboard 
shit: shit 
jam: jam 
tinashe: tinashe 
june: june 
richh: richh 
wiley: wiley 
p: p 
partner: partner 
marroquin: marroquin 
uh: uh 
snippet: snippet 
nolanberollin: nolanberollin 
chuck: chuck 
somebody: somebody 
broken: broken 
different: different 
remember: remember 
fight: fight 
alien: alien 
vida: vida 
reprise: reprise 
maybe: maybe 
park: park 
rock: rock 
red: red 
charlie: charlie 
sexual: sexual 
e: es e 
video: videos video 
taking: taking 
featured: featured 
variable: variable 
album: album 
tag: tags 
sampled: sampled 
nothin: nothin 
pretty: pretty 
label: label 
parody: parody 
started: started 
guilt: guilt 
island: island 
galland: galland 
ordered: ordered 
ascap: ascap 
al: al 
got: got 
bigger: bigger 
coast: coast 
tryna: tryna 
george: george 
type: type 
hobbit: hobbit 
release: release 
b: b 
inmi: inmi 
knight: knight 
vacation: vacation 
edge: edge 
hindi: hindi 
right: rights 
vision: vision 
group: group 
getting: getting 
step: step steps 
would: would 
bmi: bmi 
papa: papa 
wining: wining 
together: together 
intro: intro 
posed: posed 
french: french 
thanksgivin: thanksgivin 
inc: inc 
cap: cap 
wilson: wilson 
x: x 
one: one 
breakfast: breakfast 
brown: brown 
transcriber: transcribers 
elevate: elevate 
scrim: scrim 
away: away 
lot: lot 
thirty: thirty 
received: received 
track: tracks track 
round: round 
pirate: pirate 
policy: policy 
publisher: publisher 
fresh: fresh 
dream: dreams 
tamerlane: tamerlane 
etc: etc 
sell: sell 
could: could 
fran: fran 
portugu: portugu 
minute: minute 
honey: honey 
reminiscent: reminiscent 
ponderosa: ponderosa 
annotation: annotation 
grab: grab 
interludiobound: interludiobound 
experimental: experimental 
und: und 
warm: warm 
along: along 
worst: worst 
loveye: loveye 
finished: finished 
told: told 
genius: genius 
ethan: ethan 
nick: nick 
somethin: somethin 
agc: agc 
amra: amra 
sample: samples sample 
press: press 
cut: cut 
russian: russian 
club: club 
integrate: integrate 
freestyle: freestyle 
rap: rap 
recovering: recovering 
mike: mike 
elon: elon 
long: long 
id: id 
bob: bob 
forever: forever 
gon: gon 
u: u us 
start: start 
prinz: prinz 
verified: verified 
n: n 
enlisted: enlisted 
g: g 
tired: tired 
madebynoah: madebynoah 
help: help 
primary: primary 
slave: slaves 
twenty: twenty 
isolating: isolating 
midwxst: midwxst 
knowledge: knowledge 
backstroke: backstroke 
trend: trend 
electronic: electronic 
rene: rene 
begin: begin 
wanderer: wanderer 
space: space 
salon: salon 
sesac: sesac 
make: make 
shared: shared 
status: status 
west: west 
death: death 
line: lines 
brasil: brasil 
licensing: licensing 
j: j 
assistant: assistant 
sony: sony 
ronnie: ronnie 
gimme: gimme 
vlado: vlado 
possible: possible 
turned: turned 
say: say 
oliver: oliver 
ol: ol 
plane: plane 
birthday: birthday 
forum: forum 
squidward: squidward 
manny: manny 
traducciones: traducciones 
said: said 
mad: mad 
adrev: adrev 
advertise: advertise 
santi: santi 
ai: aises ais 
additional: additional 
watch: watch 
add: add 
opposed: opposed 
hey: hey 
commercially: commercially 
dean: dean 
understand: understand 
gown: gown 
guide: guide 
successful: successful 
traduzione: traduzione 
sight: sight 
gotti: gotti 
ab: ab 
please: please 
creator: creator 
pacific: pacific 
skinhead: skinhead 
prom: prom 
ugly: ugly 
blood: blood 
promote: promote 
hip: hip 
sweet: sweet 
premiered: premiered 
soulful: soulful 
rutberg: rutberg 
rome: rome 
biggest: biggest 
job: jobs 
copyright: copyright 
bold: bold 
trip: trip 
hill: hill 
trinity: trinity 
wee: wee 
f: f 
confused: confused 
cover: cover covers 
chappell: chappell 
contact: contact 
pi: pi 
nesty: nesty 
em: em 
williams: williams 
badbadnotgood: badbadnotgood 
ml: ml 
art: art 
production: production 
recording: recordings 
basement: basement 
period: period 
ayo: ayo 
also: also 
eye: eyes 
get: get 
mean: mean 
management: management 
tentacle: tentacles 
massey: massey 
secretly: secretly 
translation: translations translation 
robbie: robbie 
jesus: jesus 
traducci: traducci 
sinister: sinister 
close: close 
church: church 
jeromey: jeromey 
fact: facts 
monarch: monarch 
hmm: hmm 
def: def 
plant: plant 
delivery: delivery 
romey: romey 
youtube: youtube 
chris: chris 
cancel: cancel 
na: nas 
duke: dukes 
jamaican: jamaicans 
z: z 
record: record 
solar: solar 
wave: wave 
bower: bowers 
turn: turn 
mastering: mastering 
way: way 
emi: emi 
drowning: drowning 
new: new 
look: look 
industrial: industrial 
made: made 
party: party 
self: self 
sandifer: sandifer 
lovin: lovin 
da: da 
polaris: polaris 
noah: noah 
term: terms 
without: without 
thought: thought 
single: singles 
hoe: hoes 
thursday: thursday 
take: take 
black: black 
dust: dust 
original: original 
brad: brad 
interpolate: interpolate 
latinautor: latinautor 
legend: legend 
god: god 
sheemy: sheemy 
chipmunk: chipmunk 
hop: hop 
keep: keep 
picture: pictures 
mink: mink 
ebk: ebk 
la: la 
sapphire: sapphire 
aise: aise 
embed: embed 
whole: whole 
allen: allen 
first: first 
retro: retro 
universal: universal 
